"conflict_id","subject","anchor_position","conflicting_surface","controlling_authority","resolution","status","task_ids"
"ANCHOR-CONFLICT-001","LifeOS frontend framework","ARCHANCHOR-001 calls the target Glass Tauri/Svelte and makes Vue-to-Svelte a release gate.","Root AGENTS mandates Vue 3 script setup and describes LifeOS as Vue 3 plus Tauri 2.","Current owner instructions and repository operating contract outrank architecture inputs.","Keep the Glass/Engine, PTY, ordered-channel, redb-projection, and round-trip requirements; implement them in Vue 3 plus Tauri 2. Do not create a Svelte migration task.","resolved","ARCHBP-043"
"ANCHOR-CONFLICT-002","Direct semantic SQL source mutation","ARCHANCHOR-001 shows database-hosted semantic work and includes SQL update-oriented source material.","The maintained compatibility review and CodeDB safety contracts forbid direct agent SQL mutation of canonical source.","Current safety contract and checked implementation boundary.","Semantic SQL may discover and plan work, but mutation remains source-snapshot-bound, approval-gated, isolated, verified, and promoted through the governed database/Git workflow.","resolved","ARCHBP-004; ARCHBP-005; ARCHBP-046"
"ANCHOR-CONFLICT-003","redb mmap wording","ARCHANCHOR-002 calls redb a shared mmap live boundary.","Inspected redb 4.1 uses a file backend, permits one writable opener, and supplies no cross-process notification API.","Anchor's own corrected physical contract plus checked redb behavior.","One supervised service owns the database handle and publishes a separate atomic read-only mmap projection with ordered authenticated UDS wakeups. LifeOS never maps the database file.","resolved","ARCHBP-039"
"ANCHOR-CONFLICT-004","STORE-001 lifecycle","Maintained PGAUTH prose still says owner assignments are pending STORE-001.","generated/store_relationship_decision.json and proof_records/STORE-001.proof.json record the owner decision at 2026-07-13T03:47:08Z.","Accepted owner decision and exact proof.","Remove pending wording from maintained authority contracts, cite STORE-001, and keep implementation/cutover tasks separately unproven.","resolved","STORE-001; PGAUTH-001; PGAUTH-003; PGAUTH-004"
"ANCHOR-CONFLICT-005","redb geometry","ARCHANCHOR-001 requires redb-backed coordinate, distance, cosine, and SIMD-ready application processing.","Earlier compatibility prose rejected redb itself as a native vector/geometry engine.","Checked mechanism plus desired anchor scope.","Keep the correction that vanilla redb has no native vector index/model. Implement geometry in the owner-controlled application layer over stored coordinates; PostgreSQL/RuVector remains semantic/vector authority.","resolved","PGAUTH-002; ARCHBP-003; ARCHBP-039"
"ANCHOR-CONFLICT-006","envctl current versus target behavior","Anchors require an envctl-only drain/embed/commit and bidirectional projection loop.","Checked envctl does not currently implement the complete loop.","Checked source controls current truth; anchor controls desired scope.","Record the loop as required and release-blocking, never current implementation. Enforce envctl-only production credentials and retain explicit bootstrap/parity/repair grants.","resolved","ARCHBP-042"
"ANCHOR-CONFLICT-007","rtk_nu existence","Anchors require a byte-first rtk_nu adapter.","Pinned RTK and Meta trees contain no rtk_nu implementation.","Checked source controls current truth; anchor controls desired scope.","Create a separate pinned adapter task. Keep rtk as the inspected compact-output proxy and keep native Nu values out of the text adapter.","resolved","ARCHBP-040"
"ANCHOR-CONFLICT-008","Protected secret bytes","Anchors require protected encrypted secret bytes and custody history in PostgreSQL while plaintext never enters broad capture surfaces.","Current provider keys resolve from OS keyring or environment, and earlier STORE-001 text said PostgreSQL stores references only.","Owner all-durable-data decision plus anchor security contract, constrained by current safety rules.","Treat keyring/env as bootstrap and transition surfaces. Target PostgreSQL stores encrypted custody objects and audit metadata; plaintext remains lease-bound to an exact target and never enters redb, UI, logs, proof, or model context.","resolved","ARCHBP-044"
"ANCHOR-CONFLICT-009","Generated Planning Spine authority","Anchors say generated files are projections after database cutover.","Current repository contract says tracked CSV/JSON planning inputs are the operating source until POSTGRES-003/010 defines the database owner.","Phased owner model.","Keep authored Git inputs canonical today; after verified cutover PostgreSQL becomes canonical and generators materialize replaceable projections. Never reverse-sync a generated projection.","resolved","PGAUTH-004; POSTGRES-003; POSTGRES-010; ARCHBP-048"
"ANCHOR-CONFLICT-010","Legacy handoff authority","Tracked .handoff says planning lives on the KB board and hf hooks control continuity.","LifeOS AGENTS makes repository-native Planning Spine navigation durable when GitKB/GitNexus is absent or stale; hf hooks are obsolete upstream.","Current LifeOS operating contract and active runtime evidence.","Merge unique identity/continuity claims into maintained contracts, preserve exact hashes and a recoverable archive, and remove .handoff as an active planning/runtime surface.","resolved","LPS-023; ARCHBP-022"
"ANCHOR-CONFLICT-011","All work inside PostgreSQL","Anchors say all work is inside PostgreSQL/RuVector after cutover.","Compilers, Git, editors, terminals, devices, models, and runners necessarily execute physically outside PostgreSQL.","Anchor hard rules 4-8 and anchored graph annotations.","Interpret inside as database ownership, authorization, coordination, complete capture, and promotion—not elimination of external execution. Require every effect and result to return.","resolved","ARCHBP-046; ARCHBP-048"
"ANCHOR-CONFLICT-012","Absolute performance and integrity wording","Source material includes sub-millisecond, mathematical-impossibility, and other absolute claims.","Maintained compatibility review requires reproducible benchmarks and failure tests before such claims are accepted.","Checked proof policy.","Retain these as acceptance targets or hypotheses. Never use them as current completion proof without raw samples, failure cases, and reproducible gates.","resolved","ARCHBP-010; ARCHBP-015; ARCHBP-016; ARCHBP-039; ARCHBP-047"
"ANCHOR-CONFLICT-013","Historical correction corpus versus active proof ledger","The 2026-07-13 correction README claimed 68 invalidations were applied at sequences 241-308 and that the canonical ledger ended at 315.","Later source-of-truth commit ef8928e and digest-reconciliation commit 177481b established the 258-entry pre-consolidation ledger and changed records inside the old 240-entry prefix; current owner instructions and exact anchors ratify the storage model while ARCHBP-038..048 retain unimplemented scope as explicit gaps.","Current owner authority plus later maintained Git/proof history; historical correction bytes remain lower-authority evidence.","Mark the correction set superseded-historical, retain and inventory all 68 exact files and their embedded target receipts without reconstructing the displaced branch prefix, do not append them to the active ledger, and test the immutable 258-entry active prefix plus explicit current proof selections.","resolved","STORE-001; ARCHBP-035; ARCHBP-038; ARCHBP-048"
