"conflict_id","source_repo","source_task_surface","prior_task_ids","prior_claim","observed_evidence","conflict","canonical_task_ids","disposition","execution_gate","evidence_uri"
"TASKCONFLICT-001","FlexNetOS/nu_plugin","execution/TASK_GRAPH.csv","CDB013-CDB063","Fifty-one implementation and runtime rows remain planned.","Current master contains the Rust workspace, redb store, scanner, CLI, Nu plugin, MCP, envctl export, tests, manifests, PgStore, and materialization; HANDOFF says CDB013-CDB047 completed; PRs 13, 14, 16, 18, and 19 merged with green CI.","Canonical task status contradicts current source and evidence; blindly importing rows would schedule duplicate implementation.","RECOVERY-002; ADOPT-001","Reconcile each row by direct evidence; adopt proven capabilities, preserve real pending gaps, and never bulk-mark Complete.","closed-until-reconciliation","/home/flexnetos/lifeos/src/nu_plugin/execution/TASK_GRAPH.csv; /home/flexnetos/lifeos/src/nu_plugin/HANDOFF.md"
"TASKCONFLICT-002","FlexNetOS/nu_plugin","execution/BIDIRECTIONAL_TASK_GRAPH.csv","CDB070-CDB090","All twenty-one bidirectional rows are complete.","Source and logs show substantial implementation, but Complete spans design, proof, safety gates, and release tasks and overlaps V1.1 rows still marked planned.","Completion vocabulary and overlapping task intent cannot be imported as one product-complete claim.","RECOVERY-002; ADOPT-001","Classify each row as product, proof, planning, or release completion and map once to LifeOS.","closed-until-reconciliation","/home/flexnetos/lifeos/src/nu_plugin/execution/BIDIRECTIONAL_TASK_GRAPH.csv"
"TASKCONFLICT-003","FlexNetOS/nu_plugin","execution/POLYGLOT_TASK_GRAPH.csv","CDB091-CDB105","All fifteen rows are complete.","HANDOFF explicitly says this lane is a planning package and does not claim polyglot implementation shipped.","Complete means planning-artifact completion, not product capability completion.","RECOVERY-002","Preserve the planning package, classify it as planning-only unless current source and tests independently prove implementation.","closed-until-reconciliation","/home/flexnetos/lifeos/src/nu_plugin/execution/POLYGLOT_TASK_GRAPH.csv; /home/flexnetos/lifeos/src/nu_plugin/HANDOFF.md"
"TASKCONFLICT-004","FlexNetOS/envctl","envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/task_graph.csv and status_report.json","EF-001 through MAINT-503","Source graph reports 76 pending and 4 complete; proof-derived status reports all 80 complete.","Proofs primarily validate package models, scripts, documents, reports, and execution artifacts; later product PR 440 implemented the repo-native redb migration engine.","Two generated projections disagree, and package completion is not automatically product completion.","RECOVERY-003; ADOPT-002","Classify source, package, proof, merged product, and live runtime state separately; retain one canonical disposition per task.","closed-until-reconciliation","/home/flexnetos/lifeos/src/envctl/envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/task_graph.csv; /home/flexnetos/lifeos/src/envctl/envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/status_report.json"
"TASKCONFLICT-005","FlexNetOS/envctl and FlexNetOS/nu_plugin","envctl issue-414 generated task graph","REQ-050-REQ-061","All twelve rows remain pending and have no package proof records.","envctl PR 450 and nu_plugin PR 13 are merged with green CI and implement the code-graph DB and Nu visual surfaces.","Pending package rows conflict with merged product source, but exact task-to-commit coverage still requires proof mapping.","RECOVERY-002; RECOVERY-003; ADOPT-001; ADOPT-002","Map every REQ row to merged source and tests; retain only uncovered acceptance gaps as pending.","closed-until-reconciliation","/home/flexnetos/lifeos/src/envctl/envctl-db-nu-plugin-migration-automation-package/execution-framework/generated/issue-414/task_graph.csv"
"TASKCONFLICT-006","FlexNetOS/envctl","envctl .handoff loop state","TASK-0089; TASK-0091-TASK-0094","Loop DONE says R2-R10 complete while TASK-0089 remains blocked by operator freeze.","PRs 470-472 prove the PostgreSQL-RuVector component, pairing ADR, and semantic consumer; the loop marker itself records 8 of 9 terminal with TASK-0089 blocked.","A broad DONE marker cannot be imported as all intelligence and store work complete.","RECOVERY-003; ADOPT-002; STORE-001","Preserve proven rows, retain TASK-0089 as blocked, and do not use loop DONE as store-authority proof.","closed-until-reconciliation","/home/flexnetos/lifeos/src/envctl/.handoff/loop/DONE"
"TASKCONFLICT-007","LifeOS; FlexNetOS/nu_plugin; FlexNetOS/envctl","LifeOS POSTGRES and PGAUTH rows versus merged peer work","POSTGRES-004-POSTGRES-009; PGAUTH-001-PGAUTH-006; CDB013-CDB105; REQ-020-REQ-061","LifeOS rows currently describe future ingestion, storage, materialization, secret, and semantic capability.","Merged peers already implement significant slices of those capabilities.","Unqualified LifeOS implementation rows would duplicate valid work and could downgrade proven behavior.","RECOVERY-004; ADOPT-001; ADOPT-002","Treat peer source as upgrade input; split only missing integration, authority, scale, and whole-user-space proof.","closed-until-adoption-map","planning-spine-v0/generated/task_graph.source.csv"
"TASKCONFLICT-008","LifeOS; FlexNetOS/nu_plugin; FlexNetOS/envctl","PGAUTH-002 and DEPTH-013 versus current redb owners","PGAUTH-002; DEPTH-013; CDB015-CDB018; REQ-020-REQ-028","Earlier LifeOS rows classify redb as transient buffer and WAL only.","nu_plugin uses redb as authoritative source-blob storage and envctl uses redb as the durable replayable migration database; both have merged implementations and tests.","The redb role was decided before current valid use cases were reconciled.","PGAUTH-002; STORE-001","Reopen the classification, inventory all use cases, and require David-approved store relationship before schema decomposition.","closed-owner-decision-required","planning-spine-v0/generated/task_graph.source.csv; /home/flexnetos/lifeos/src/nu_plugin/crates/codedb_store_redb/src/lib.rs; /home/flexnetos/lifeos/src/envctl/crates/engine/src/migration_db/mod.rs"
"TASKCONFLICT-009","LifeOS; FlexNetOS/envctl","Whole-user-space and secret authority rows versus envctl secrets stack","POSTGRES-002; PGAUTH-005; INTEL-003; envctl TASK-0020-TASK-0036","LifeOS requires the complete user-space to be coherent in the PostgreSQL-first model.","envctl already owns secret values through secrets-engine, secretd, secretctl, and a remote libSQL Store, while catalog and CodeDB surfaces intentionally redact or reference secret material.","Storing raw secret values in PostgreSQL would duplicate authority and violate existing security boundaries unless explicitly decided.","ADOPT-002; PGAUTH-005; STORE-001","Adopt the secrets stack and decide whether PostgreSQL owns references, encrypted envelopes, metadata, or no secret values; never infer raw-value capture.","closed-owner-decision-required","/home/flexnetos/lifeos/src/envctl/crates/secrets-engine; /home/flexnetos/lifeos/src/envctl/crates/secrets-store-libsql; /home/flexnetos/lifeos/src/nu_plugin/docs/SECURITY_AND_SECRET_POLICY.md"
"TASKCONFLICT-010","LifeOS; FlexNetOS/envctl; FlexNetOS/nu_plugin","Live database proof versus generated completion claims","POSTGRES-009; POSTGRES-010; VER-304; CDB046-CDB047","Several generated surfaces report final verification or release completion.","The local PostgreSQL files exist but the server is stopped; nu_plugin's redb-versus-PostgreSQL parity test is live, ignored, and opt-in; no complete current whole-user-space migration has been queried or reconstructed.","Package and CI proof do not prove a running whole-user-space PostgreSQL authority.","RECOVERY-003; ADOPT-001; POSTGRES-009; POSTGRES-010","Retain implementation proof, but require a later bounded live database, parity, reconstruction, recovery, and cutover proof.","closed-until-full-graph","local pg_ctl status 2026-07-10T20:14Z; /home/flexnetos/lifeos/src/nu_plugin/crates/codedb_store_pg/tests/blobstore_parity.rs"
"TASKCONFLICT-011","NotebookLM redb report; LifeOS","NBSOURCE-001 claim map versus store task assumptions","REDB-CLAIM-002-REDB-CLAIM-010; REDB-CLAIM-014-REDB-CLAIM-022; PGAUTH-002; STORE-001","The report describes redb as a zero-copy geometry engine with SIMD vector math, deterministic microsecond performance, MessagePack ingestion, embedding cache, WAL behavior, and direct envctl-to-PostgreSQL synchronization.","Several claims are application-layer proposals or performance assertions rather than established redb engine behavior; current CodeDB and envctl redb roles also conflict with an intermediate-buffer-only model.","Importing the report as fact would assign vector math, protocol, synchronization, and latency guarantees to the wrong component.","NBSOURCE-001; PGAUTH-002; PGAUTH-006; STORE-001; POSTGRES-004; POSTGRES-005; POSTGRES-006","Preserve all claims, require source or benchmark verification, and resolve per-data-class roles in STORE-001 before architecture acceptance.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_source_extracts/NBSOURCE-001-redb-report.md"
"TASKCONFLICT-012","NotebookLM edge-buffer source; LifeOS","NBSOURCE-002 versus current store implementations and proof","EDGE-CLAIM-001-EDGE-CLAIM-005; PGAUTH-002; STORE-001","The source prescribes embedded redb buffering, microsecond operations, per-task-cycle compressed background flush, permanent PostgreSQL commit, and WAL behavior during outages.","Current CodeDB and envctl redb uses are not proven to implement this exact protocol; no benchmark, compression identity, ordering, idempotency, backpressure, or resolvable citation list is supplied.","Treating the source as implementation truth would hide the core synchronization and failure-semantics work.","NBSOURCE-002; PGAUTH-002; PGAUTH-006; STORE-001; POSTGRES-006; POSTGRES-009","Retain the architecture proposal, require explicit protocol design and benchmark proof, and do not erase current durable redb roles.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_source_extracts/NBSOURCE-002-edge-buffering.md"
"TASKCONFLICT-013","NotebookLM Nushell integration source; LifeOS; FlexNetOS/nu_plugin; FlexNetOS/envctl","NBSOURCE-003 versus preserved CodeDB, PgStore, and envctl store evidence","NUPG-CLAIM-001-NUPG-CLAIM-010; REDB-CLAIM-019-REDB-CLAIM-021; ADOPT-001; ADOPT-002; PGAUTH-002; STORE-001","The source says the existing Rust-native nu_plugin buffers parsed blocks in redb, makes a new direct PostgreSQL plugin unnecessary, and already relies on envctl to synchronize and permanently commit those blocks into PostgreSQL.","Preserved planning evidence records an existing direct PgStore capability, authoritative CodeDB redb source-blob storage, envctl's durable replayable migration database, and no live proof of the exact automatic redb-to-envctl-to-PostgreSQL bridge asserted by the source.","Importing these statements as current truth would discard or misclassify valid capability, collapse current and target architecture, and hide synchronization, transaction, identity, recovery, and owner-authority decisions.","NBSOURCE-003; RECOVERY-002; ADOPT-001; ADOPT-002; PGAUTH-002; PGAUTH-006; STORE-001; POSTGRES-004; POSTGRES-006","Preserve all ten claims and existing capabilities, queue code-path and benchmark verification, and require David's store/plugin boundary decision; NotebookLM repetition does not verify current implementation.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-003-nushell-redb-postgresql.md"
"TASKCONFLICT-014","NotebookLM LifeOS-Ruvnet swarm source; LifeOS; Yazelix runtime; Ruvnet agent targets","NBSOURCE-004 current-state assertions versus Draft runtime, control-surface, experience, and release tasks","SWARM-CLAIM-001-SWARM-CLAIM-014; FOUNDATION-003; PGAUTH-003; STORE-001; POSTGRES-006; POSTGRES-007; POSTGRES-009; LIFEOS-010","The source presents portable LifeOS launch, Yazelix Zellij and Nushell initialization, automatic Ruvnet-agent startup, static ruvllm plus .rvf loading, UDS or shared-redb status transport, real-time UI rendering, no overlapping state, and Temporal Strange Attractor forecasting as already operating.","The canonical task graph keeps source-to-profile launch, agent lifecycle and cognition, UDS/redb authority, UI status, end-to-end portable runtime, performance, and forecasting proof in Draft or unresolved owner-decision tasks; the source supplies no installed-runtime trace, source call path, benchmark, failure test, or citation provenance.","Importing the source as current truth would convert target architecture into fabricated implementation proof, permit automatic agent execution without authority evidence, and allow ambiguous UDS/shared-redb paths to create overlapping or dual state authority.","NBSOURCE-004; FOUNDATION-003; LIFEOS-003; LIFEOS-005; LIFEOS-010; PGAUTH-002; PGAUTH-003; PGAUTH-006; STORE-001; POSTGRES-006; POSTGRES-007; POSTGRES-009","Preserve all fourteen claims, queue local and installed-runtime verification, benchmark real-time behavior, recover citations if possible, and require explicit transport and state-authority decisions before architecture acceptance.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-004-lifeos-ruvnet-swarm.md; generated/task_graph.source.csv"
"TASKCONFLICT-015","NotebookLM autonomous database transformation source; LifeOS governed execution and PostgreSQL targets","NBSOURCE-005 autonomous-current wording versus Draft database authority, simulation, and cutover tasks","DBX-CLAIM-001-DBX-CLAIM-014; LIFEOS-003; POSTGRES-003; POSTGRES-005; POSTGRES-010; LPS-005","The source presents direct operating-system rewrites in database rows, exact-function hybrid SQL retrieval, real-time MinCut intervention, Cryptographic Witness Chain enforcement, and impossible fake dependencies as the Phase 3 operating model.","Canonical tasks keep database authority, branch isolation, semantic editing, simulation, intervention, witness verification, rollback, projection, and reversible cutover in Draft; autonomous merge and source cutover remain blocked without proof.","Treating the source as implementation truth would authorize direct code mutation, agent cutoff, and absolute security guarantees without source, authority, benchmark, threat-model, rollback, or runtime evidence.","NBSOURCE-005; LIFEOS-002; LIFEOS-003; POSTGRES-003; POSTGRES-005; POSTGRES-009; POSTGRES-010; LPS-005","Preserve and queue every claim; require local extension and application proof, owner authority decisions, performance benchmarks, adversarial tests, reversible projection, and source reconstruction before acceptance.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-005-autonomous-db-swarm-defense.md; generated/task_graph.source.csv"
"TASKCONFLICT-016","NotebookLM Temporal Attractor forecasting source; LifeOS simulation targets","NBSOURCE-006 current forecasting assertions versus non-executing Draft simulation tasks","TA-CLAIM-001-TA-CLAIM-013; SWARM-CLAIM-013; DBX-CLAIM-007-DBX-CLAIM-009; LIFEOS-003; POSTGRES-005; LPS-005","The source says Temporal Strange Attractors and parallel Echo-State Network ensembles already predict project trajectories, simulate 100 steps, detect hallucination or recursive-loop paths, and know failure before production code is written.","Canonical simulation tasks remain Draft and require model provenance, input identity, deterministic branching, uncertainty, evaluation, resource bounds, authority, and proof before simulation can constrain execution.","Accepting the source as current truth would fabricate model capability and permit uncalibrated forecasts to block or direct work without evidence.","NBSOURCE-006; LIFEOS-003; LIFEOS-005; POSTGRES-004; POSTGRES-005; POSTGRES-009; LPS-005","Preserve and queue every claim; require local model source, reproducibility, calibration, benchmarks, counterexamples, and an explicit non-executing simulation boundary.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-006-temporal-attractors.md"
"TASKCONFLICT-017","NotebookLM Cognitive Evolution: Redb Versus AgentDB Architecture; LifeOS canonical planning graph","NBSOURCE-007 source wording versus Draft implementation, authority, benchmark, and owner-decision tasks","COGEVO-CLAIM-001; COGEVO-CLAIM-002; COGEVO-CLAIM-003; COGEVO-CLAIM-004; COGEVO-CLAIM-005; COGEVO-CLAIM-006; COGEVO-CLAIM-007; COGEVO-CLAIM-008; COGEVO-CLAIM-009; COGEVO-CLAIM-010; COGEVO-CLAIM-011; COGEVO-CLAIM-012; COGEVO-CLAIM-013; COGEVO-CLAIM-014; REDB-CLAIM-026; REDB-CLAIM-027; SWARM-CLAIM-007; REDB-CLAIM-028; SWARM-CLAIM-013; SWARM-CLAIM-014","The source presents or asks about passive/active memory, redb retrieval and learning boundaries, AgentDB RVF learning assertions, forecasting questions, and unresolved citations.","The packet and exact source provide no independent local source, installed-runtime, benchmark, authority, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified current behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-007; NBVERIFY-000; LIFEOS-003; LIFEOS-005; LPS-005; PGAUTH-002; PGAUTH-003; PGAUTH-006; POSTGRES-001; POSTGRES-005; POSTGRES-006; STORE-001","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-007-cognitive-evolution-redb-agentdb.md; generated/task_graph.source.csv"
"TASKCONFLICT-018","NotebookLM Database Branching and Concurrent Code Management; LifeOS canonical planning graph","NBSOURCE-008 source wording versus Draft implementation, authority, benchmark, and owner-decision tasks","DBBR-CLAIM-001; DBBR-CLAIM-002; DBBR-CLAIM-003; DBBR-CLAIM-004; DBBR-CLAIM-005; DBBR-CLAIM-006; DBBR-CLAIM-007; DBBR-QUESTION-001; DBBR-QUESTION-002; DBBR-PROVENANCE-001; DBX-CLAIM-001; DBX-CLAIM-006; DBX-CLAIM-013; DBX-CLAIM-007; DBX-CLAIM-010; DBX-CLAIM-012; SWARM-CLAIM-014; DBX-CLAIM-014","The source presents or asks about database copy-on-write code branches, isolated row edits, test-gated merge, rollback, dirty-repository absolutes, export questions, and unresolved citations.","The packet and exact source provide no independent local source, installed-runtime, benchmark, authority, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified current behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-008; NBVERIFY-000; LIFEOS-003; LIFEOS-011; LPS-005; LPS-006; PGAUTH-006; POSTGRES-003; POSTGRES-005; POSTGRES-010; RELEASE-002","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-008-database-branching-concurrent-code.md; generated/task_graph.source.csv"
"TASKCONFLICT-019","NotebookLM Deterministic Timeline Selection via Agentic Temporal Branching; LifeOS canonical planning graph","NBSOURCE-009 source wording versus Draft implementation, authority, benchmark, and owner-decision tasks","ATAS-CLAIM-001; ATAS-CLAIM-002; ATAS-CLAIM-003; ATAS-CLAIM-004; ATAS-CLAIM-005; ATAS-CLAIM-006; ATAS-QUESTION-001; ATAS-QUESTION-002","The source presents or asks about ATAS copy-on-write futures, performed-work selection, ESN branch selection, reproduction guarantees, immune-system and truthfulness questions, and unresolved citations.","The packet and exact source provide no independent local source, installed-runtime, benchmark, authority, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified current behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-009; NBVERIFY-000; LIFEOS-003; LPS-005; LPS-006; POSTGRES-005","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-009-agentic-temporal-branching.md; generated/task_graph.source.csv"
"TASKCONFLICT-020","NotebookLM Edge Node Deployment and Agent Swarm Initialization; LifeOS canonical planning graph","NBSOURCE-010 source wording versus Draft implementation, authority, benchmark, and owner-decision tasks","EDGEDEP-CLAIM-001; EDGEDEP-CLAIM-002; EDGEDEP-CLAIM-003; EDGEDEP-CLAIM-004; EDGEDEP-CLAIM-005; EDGEDEP-CLAIM-006; EDGEDEP-CLAIM-007; EDGEDEP-CLAIM-008; EDGEDEP-CLAIM-009; EDGEDEP-CLAIM-010; EDGEDEP-CLAIM-011; EDGEDEP-QUESTION-001; EDGEDEP-QUESTION-002","The source presents or asks about edge-node ruvllm, shared foundation-model memory, AgentDB RVF and MicroLoRA claims, redb scratchpad performance, Phase 3 and RVF questions, and unresolved citations.","The packet and exact source provide no independent local source, installed-runtime, benchmark, authority, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified current behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-010; NBVERIFY-000; FOUNDATION-001; FOUNDATION-003; LIFEOS-003; LIFEOS-005; PGAUTH-002; PGAUTH-003; PGAUTH-006; POSTGRES-005; POSTGRES-006; POSTGRES-009; POSTGRES-010; STORE-001","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-010-edge-node-agent-swarm.md; generated/task_graph.source.csv"
"TASKCONFLICT-021","NotebookLM Engineering Fully Portable Nix and Rust Static Binaries; LifeOS canonical planning graph","NBSOURCE-011 source wording versus Draft implementation, authority, benchmark, and owner-decision tasks","NIXSTATIC-CLAIM-001; NIXSTATIC-CLAIM-002; NIXSTATIC-CLAIM-003; NIXSTATIC-CLAIM-004; NIXSTATIC-CLAIM-005; NIXSTATIC-CLAIM-006; NIXSTATIC-CLAIM-007; NIXSTATIC-QUESTION-001; NIXSTATIC-QUESTION-002","The source presents or asks about musl target and static-closure assertions, Nix-store path portability, AppImage and nix-user-chroot proposals, initialization and plugin-streaming questions, and unresolved citations.","The packet and exact source provide no independent local source, installed-runtime, benchmark, authority, readiness, or citation proof; canonical product tasks remain Draft.","Accepting source wording as verified current behavior, an owner decision, or execution authority would collapse evidence and product boundaries.","NBSOURCE-011; NBVERIFY-000; ADOPT-001; FOUNDATION-001; FOUNDATION-002; FOUNDATION-003; POSTGRES-004; POSTGRES-006; POSTGRES-009; RELEASE-002","Preserve every atom and question, queue primary verification or owner decision, and treat repetition only as relation evidence.","closed-owner-decision-and-verification-required","generated/notebooklm_source_claims.source.csv; generated/notebooklm_claim_evidence.source.csv; generated/notebooklm_source_extracts/NBSOURCE-011-portable-nix-rust-static-binaries.md; generated/task_graph.source.csv"
