consolidate-lifeos-handoff-into-planning-spine	completed	Consolidate LifeOS handoff into Planning Spine
finish-lifeos-github-integration	completed	Finish LifeOS GitHub integration
register-envctl-peer-and-refresh-envctl-kb	completed	Register envctl peer and refresh envctl KB
register-teri-peer-with-meta	completed	Register teri peer with meta
tasks/agent-score-hook-log-guard-effectiveness	completed	Implement guard effectiveness scoring from hook logs
tasks/architecture-rtk-nu-adapter	completed	Implement byte-exact rtk_nu adapter
tasks/loop-lib-sequential-spawn-error-handling	completed	Return errors instead of panicking in loop_lib sequential spawn path
tasks/meta-agent-architecture-codex-integration	completed	Deep dive agent architecture and .codex integration
tasks/meta-child-ci-synthesized-workspace-version-drift	completed	Align child CI synthesized workspace versions
tasks/meta-claude-gitkb-command-hook-drift	completed	Align Claude GitKB command and daemon hook docs
tasks/meta-clean-foundation-build-order	completed	Build meta from clean upstream foundation
tasks/meta-clear-stale-codex-hook-trust-state	completed	Clear stale Codex hook trust state for removed meta hooks
tasks/meta-cli-claude-git-setup-ssh-drift	completed	Fix stale setup-ssh guidance in meta-git skill
tasks/meta-cli-claude-meta-exec-ordered-drift	completed	Fix stale --ordered guidance in meta-exec skill
tasks/meta-cli-claude-meta-plugins-command-discovery-drift	completed	Fix stale commands and plugin paths in meta-plugins skill
tasks/meta-cli-claude-meta-safety-ordered-drift	completed	Fix stale --ordered guidance in meta-safety skill
tasks/meta-code-intelligence-live-snapshot-2026-07-02	completed	Capture live GitKB code intelligence snapshot
tasks/meta-code-intelligence-rust-index-coverage	completed	Restore Rust coverage for GitKB code intelligence in meta workspace
tasks/meta-code-intelligence-unresolved-call-audit	completed	Audit GitKB code intelligence unresolved calls
tasks/meta-codex-gitkb-mcp-ownership	completed	Resolve Codex GitKB MCP ownership
tasks/meta-codex-plugin-source-cache-drift	completed	Reconcile Codex GitKB plugin source and installed cache
tasks/meta-command-surface-docs-reconciliation	completed	Reconcile docs with live command surface
tasks/meta-core-atomic-write-temp-collision	completed	Make meta_core atomic writes collision-safe
tasks/meta-design-codex-hook-parity	completed	Design Codex hook parity for GitKB and meta cleanup workflow
tasks/meta-docs-architecture-workspace-version-drift	completed	Update architecture overview workspace version snippet
tasks/meta-docs-plugin-discovery-location-drift	completed	Fix stale plugin discovery locations in docs
tasks/meta-extract-gitkb-docs-pages	completed	Extract gitkb.com docs pages into docs
tasks/meta-foundation-live-proof-gitkb-parity	completed	Prove Meta GitKB foundation from live evidence
tasks/meta-git-cli-help-include-only-drift	completed	Fix stale --include-only help in meta_git_cli
tasks/meta-git-lib-missing-project-update-drift	completed	Fix stale meta project update missing-repo hint
tasks/meta-git-setup-ssh-actual-remotes	completed	Include actual org SSH remotes in setup-ssh
tasks/meta-git-setup-ssh-restore	completed	Restore meta git setup-ssh command surface
tasks/meta-git-setup-ssh-root-remote	completed	Include meta root SSH remote in setup-ssh
tasks/meta-github-sync-state-policy	completed	Enforce GitHub sync state policy
tasks/meta-gitkb-bundle-archive-policy	completed	Define GitKB bundle archive and replay policy
tasks/meta-gitkb-cli-live-parity-suite	completed	Build live parity suite for GitKB CLI docs
tasks/meta-gitkb-cli-option-level-parity	completed	Verify every documented GitKB CLI option and flag
tasks/meta-gitkb-cli-reference-0212-refresh	completed	Refresh GitKB CLI reference for installed 0.2.12
tasks/meta-gitkb-code-intel-meta-proof-suite	completed	Prove GitKB code intelligence across meta repos
tasks/meta-gitkb-config-schema-policy	completed	Define GitKB config schema policy for meta
tasks/meta-gitkb-docs-command-config-extraction	completed	Extract GitKB docs commands and configs into implementation tasks
tasks/meta-gitkb-docs-gap-audit-2	completed	Repeat GitKB docs symbol walk and close task rail gaps
tasks/meta-gitkb-document-graph-view-policy	completed	Define GitKB document graph and view policy
tasks/meta-gitkb-mcp-parameter-schema-parity	completed	Verify every documented GitKB MCP parameter schema
tasks/meta-gitkb-mcp-tool-parity-suite	completed	Build live parity suite for GitKB MCP tool docs
tasks/meta-gitkb-recovery-safety-policy	completed	Define safe GitKB recovery and destructive-command policy
tasks/meta-gitkb-skill-inventory-adapter-parity	completed	Verify GitKB skill inventory and adapter symlink parity
tasks/meta-gitkb-skill-workspace-path-drift	completed	Align GitKB skills with .kb/workspaces path
tasks/meta-gitkb-sync-auth-remote-policy	completed	Define FlexNetOS GitKB sync auth and remote policy
tasks/meta-implement-unified-agent-plugin-control-plane	completed	Implement unified meta-owned agent plugin control plane
tasks/meta-initial-10-repeat-source-walk-2026-07-02	completed	Repeat source walk for initial 10 meta repos
tasks/meta-initial-10-repo-deep-walk	completed	Deep walk initial 10 meta repos
tasks/meta-initial-14-alignment-code-intel-prep-2026-07-02	completed	Repeat initial 14 alignment audit and prepare code intelligence
tasks/meta-initial-14-repeat-source-walk-hooks-2026-07-02	completed	Repeat source walk for initial 14 meta repos and hooks
tasks/meta-kb-agents-command-path-drift	completed	Align .kb/AGENTS.md with git-kb command and workspace path
tasks/meta-kb-workflow-peer-component-smoke-test	completed	Smoke Test GitKB Workflow Across Meta Peer Components
tasks/meta-lifeos-portable-agentic-os-release-roadmap	completed	Add LifeOS portable agentic OS release roadmap
tasks/meta-live-test-cli-loop-lib	completed	Live test meta CLI and loop_lib behavior
tasks/meta-local-ubuntu-release-runner	completed	Build local Ubuntu release through flexnetos_runner
tasks/meta-locate-codex-init-doc-extraction	completed	Locate extracted Codex doc for git-kb init codex
tasks/meta-lockfile-version-drift	completed	Resolve Cargo.lock drift from workspace version bump
tasks/meta-mcp-destructive-tool-guardrails	completed	Document and guard destructive meta_mcp tools
tasks/meta-org-migration-cleanup	completed	Clean legacy organization references
tasks/meta-peer-local-kb-bootstrap	completed	Bootstrap peer-local GitKB stores additively
tasks/meta-plugin-gitkb-harness-generation	completed	Generate GitKB harness adapters from meta-plugin
tasks/meta-plugin-kb-hooks-config-policy	completed	Model GitKB hook toggles as meta-plugin policy
tasks/meta-plugin-mcp-single-owner-policy	completed	Enforce single-owner MCP registration policy
tasks/meta-read-extracted-gitkb-docs-for-codex-wiring	completed	Read extracted GitKB docs before Codex wiring
tasks/meta-readme-command-plugin-discovery-drift	completed	Fix stale command and plugin discovery docs in README
tasks/meta-release-catalog-portable-tools	completed	Catalog portable release components
tasks/meta-release-workflow-meta-rust-artifact-drift	completed	Include meta-rust in release artifacts and generated Homebrew formula
tasks/meta-remove-invalid-codex-gitkb-hooks	completed	Remove invalid Codex GitKB hook command wiring
tasks/meta-resolve-peer-dirty-trees	completed	Resolve dirty-tree state across meta peer repos
tasks/meta-retest-cli-loop-after-transition	completed	Retest meta CLI and loop after FlexNetOS transition
tasks/meta-retire-stale-claude-kb-commands	completed	Retire stale Claude kb command wrappers
tasks/meta-root-claude-code-intelligence-command-drift	completed	Align root Claude code-intelligence docs with git-kb code commands
tasks/meta-root-claude-meta-worker-jsons-drift	completed	Fix stale --jsons in root meta-worker agent doc
tasks/meta-root-claude-settings-hook-command-drift	completed	Align tracked Claude settings hooks with generated hook commands
tasks/meta-rust-release-packaging	completed	Package meta-rust in release and install flows
tasks/meta-system-architecture-documentation	completed	Document FlexNetOS meta system architecture
tasks/meta-transition-flexnetos-clean-heads	completed	Transition meta repos from gitkb to FlexNetOS clean heads
tasks/meta-verification-parity	completed	Align local hooks, CI, and release verification
tasks/meta-verify-14-peer-repos-functional	completed	Verify all 14 meta peer repos are fully functional
tasks/meta-worktree-hook-trust-boundary	completed	Define trust boundary for meta worktree hooks
tasks/rtk-codex-hooks-server-dashboard-icm	completed	Implement RTK Codex hooks, server, dashboard, and ICM integration
tasks/yzx-iso/t10-7-latency-benchmark	completed	T10.7 — Native-latency benchmark vs bare metal
tasks/yzx-iso/t7-7-failure-handling	completed	T7.7 — Handle partial state / dirty shutdown
tasks/yzx-iso/t7-8-cold-reboot-harness	completed	T7.8 — Cold-reboot test harness
tasks/yzx-iso/t9-2-gate-observe	completed	T9.2 — Gate/observe updates via the control plane
install-claude-code-via-yazelix-nix-owner-path	completed	Install Claude Code via Yazelix Nix owner path
tasks/archbp-022-gitkb-branch-current	completed	ARCHBP-022: Make GitKB and Meta release isolation branch-current
tasks/architecture-data-pipeline-blueprint	completed	Build and verify expanded RuVector architecture blueprint
tasks/enforce-kache-nushell-yazelix-single-owner	completed	Enforce Kache, Nushell, and single Yazelix owner
tasks/envctl-github-worktree-consolidation	completed	Consolidate Envctl worktrees pull requests and branches
tasks/gitkb-code-index-symbol-forwarding	completed	Repair GitKB duplicate symbol-forwarding index failure
tasks/lifeos-notebooklm-source-claim-complete-proof	completed	Prove every NotebookLM source claim against canonical evidence
tasks/lifeos-postgresql-durable-storage-cutover	completed	Cut LifeOS durable storage over to PostgreSQL/RuVector
tasks/lifeos-real-bun-native-napi-receipt	completed	Verify LifeOS real Bun native N-API receipt
tasks/loop-cli-library-surface-parity	completed	Reconcile loop CLI and loop_lib surface parity
tasks/meta-diff-claude-to-codex-wiring	completed	Extract Claude integration and diff missing Codex wiring
tasks/meta-envctl-fleet-agent-env-policy	completed	Converge envctl agent environment through Meta fleet policy
tasks/meta-gitkb-assignment-field-mismatch	completed	Fix GitKB assign and unassign field mismatch
tasks/meta-gitkb-daemon-embedding-proof-suite	completed	Prove GitKB daemon and embedding behavior
tasks/meta-plugin-claude-retirement-proof-plan	completed	Plan Claude retirement through meta-plugin with proof before changes
tasks/meta-ruvector-github-worktree-runtime-convergence	completed	Converge meta-ruvector worktrees PRs hooks and runtime frontdoor
tasks/restore-envctl-shared-substrate	completed	Restore envctl shared substrate for active frontdoor
tasks/ruvector-package-reconciliation	completed	Cross-analyze Codex packages into RuVector blueprint (additive)
tasks/yzx-iso/t1-0-lane-index	completed	T1.0 — Isolation architecture spec & invariant ledger (lane index)
tasks/yzx-iso/t1-1-two-brother-model	completed	T1.1 — Formalize the two-brother control model
tasks/yzx-iso/t1-2-tier-map	completed	T1.2 — Define the volatile / durable / portable tier map
tasks/yzx-iso/t1-3-shared-kernel-boundary	completed	T1.3 — State the shared-kernel boundary
tasks/yzx-iso/t1-4-invariant-ledger	completed	T1.4 — Author the numbered invariant ledger
tasks/yzx-iso/t1-5-conformance-tests	completed	T1.5 — Define per-goal conformance tests
tasks/yzx-iso/t1-6-blueprint-anchor	completed	T1.6 — Anchor spec to the RuVector blueprint
tasks/yzx-iso/t1-7-failure-mode-catalog	completed	T1.7 — Catalog isolation failure modes
tasks/yzx-iso/t1-8-acceptance-gauntlet	completed	T1.8 — Specify the end-to-end acceptance gauntlet
tasks/yzx-iso/t1-9-ratify-spec	completed	T1.9 — Review and ratify the normative spec
tasks/yzx-iso/t10-0-lane-index	completed	T10.0 — Portable release + prove isolation (lane index)
tasks/yzx-iso/t10-1-packaging-decision	completed	T10.1 — Decide release packaging strategy
tasks/yzx-iso/t10-2-build-closure	completed	T10.2 — Build the portable closure
tasks/yzx-iso/t10-3-clean-host-boot	completed	T10.3 — Clean-host boot test (no nix daemon, no /nix/store)
tasks/yzx-iso/t10-4-store-independence	completed	T10.4 — Verify store independence (RPATH/ldd audit)
tasks/yzx-iso/t10-5-update-reboot-gauntlet	completed	T10.5 — Gauntlet: host update+reboot -> zero LifeOS loss
tasks/yzx-iso/t10-6-lifeos-update-gauntlet	completed	T10.6 — Gauntlet: LifeOS update -> zero host change
tasks/yzx-iso/t10-8-survival-reattach	completed	T10.8 — Full survival + auto re-attach test
tasks/yzx-iso/t10-9-release-signoff	completed	T10.9 — Release sign-off: all G1-G10 conformance green
tasks/yzx-iso/t2-0-lane-index	completed	T2.0 — Bubblewrap user-namespace envelope (lane index)
tasks/yzx-iso/t2-1-envelope-design	completed	T2.1 — Design envelope rootfs + bind-mount layout
tasks/yzx-iso/t2-2-flake-integration	completed	T2.2 — Add bwrap wrapper to the yazelix Nix flake
tasks/yzx-iso/t2-3-enter-lifecycle	completed	T2.3 — Implement yzx enter entry lifecycle
tasks/yzx-iso/t2-4-exit-release	completed	T2.4 — Implement clean exit / release lifecycle
tasks/yzx-iso/t2-5-durable-mounts	completed	T2.5 — Wire durable-state mounts into the envelope
tasks/yzx-iso/t2-6-resource-hooks	completed	T2.6 — Resource acquisition hooks (GPU/ports/devices)
tasks/yzx-iso/t2-7-latency-validation	completed	T2.7 — Validate native latency vs bare metal
tasks/yzx-iso/t2-8-multi-session	completed	T2.8 — Support concurrent envelopes / sessions
tasks/yzx-iso/t2-9-envelope-acceptance	completed	T2.9 — Envelope tests, docs, and acceptance
tasks/yzx-iso/t3-0-lane-index	completed	T3.0 — Relocate runtime off host /run (lane index)
tasks/yzx-iso/t3-1-inventory	completed	T3.1 — Inventory all vars pointing at host /run profile-runtime
tasks/yzx-iso/t3-2-choose-root	completed	T3.2 — Choose the persistent runtime root
tasks/yzx-iso/t3-3-redeclare	completed	T3.3 — Redeclare profile-runtime paths in the flake/env engine
tasks/yzx-iso/t3-4-keep-volatile	completed	T3.4 — Keep volatile tier on tmpfs (verify)
tasks/yzx-iso/t3-5-migrate-contents	completed	T3.5 — Migrate existing profile-runtime contents
tasks/yzx-iso/t3-6-envctl-commit	completed	T3.6 — Update envctl committer for new runtime rows
tasks/yzx-iso/t3-7-guard-test	completed	T3.7 — Add tier-map guard test
tasks/yzx-iso/t3-8-restart-validate	completed	T3.8 — Validate adoption after session restart
tasks/yzx-iso/t3-9-reboot-acceptance	completed	T3.9 — Acceptance: live session survives reboot
tasks/yzx-iso/t4-0-lane-index	completed	T4.0 — Durable state plane Postgres/RuVector + redb (lane index)
tasks/yzx-iso/t4-1-postgres-datadir	completed	T4.1 — Postgres 17.10 + RuVector on persistent storage
tasks/yzx-iso/t4-2-ruvector-ext	completed	T4.2 — Install/verify RuVector extension in schema extensions
tasks/yzx-iso/t4-3-redb-plane	completed	T4.3 — Wire redb transient shared plane
tasks/yzx-iso/t4-4-envctl-committer	completed	T4.4 — Route ingress through envctl sole committer
tasks/yzx-iso/t4-5-migrate-agent-state	completed	T4.5 — Migrate agent/session/tool state into Postgres
tasks/yzx-iso/t4-6-secret-plane	completed	T4.6 — Migrate secrets into envctl secret engine
tasks/yzx-iso/t4-7-byte-complete	completed	T4.7 — Verify byte-complete ingress (nu_plugin/CodeDB)
tasks/yzx-iso/t4-8-backup-restore	completed	T4.8 — Backup/restore + integrity checks
tasks/yzx-iso/t4-9-durable-acceptance	completed	T4.9 — Acceptance: reboot leaves state byte-identical
tasks/yzx-iso/t5-0-lane-index	completed	T5.0 — Eliminate path-law residuals (lane index)
tasks/yzx-iso/t5-1-finalize-xdg	completed	T5.1 — Finalize XDG_DATA/STATE_HOME redirect via envctl
tasks/yzx-iso/t5-2-close-dotclaude	completed	T5.2 — Close ~/.claude active owner
tasks/yzx-iso/t5-3-close-dotlocal	completed	T5.3 — Close ~/.local/share tool state via migrate runbook
tasks/yzx-iso/t5-4-repoint-runner	completed	T5.4 — Re-point flexnetos_runner _work off ~/FlexNetOS
tasks/yzx-iso/t5-5-remove-flexnetos	completed	T5.5 — Remove ~/FlexNetOS skeleton after re-point
tasks/yzx-iso/t5-6-host-shell-audit	completed	T5.6 — Audit host default shell stays bash
tasks/yzx-iso/t5-7-residual-guard	completed	T5.7 — Residual scanner / CI guard
tasks/yzx-iso/t5-8-restart-gate	completed	T5.8 — Restart-gated finalize ordering
tasks/yzx-iso/t5-9-residual-acceptance	completed	T5.9 — Acceptance: zero residuals, path-law green
tasks/yzx-iso/t6-0-lane-index	completed	T6.0 — Migrate Omada into Nix; retire Docker/KVM (lane index)
tasks/yzx-iso/t6-1-package-omada	completed	T6.1 — Package Omada controller (Java+Mongo) as nix
tasks/yzx-iso/t6-2-mongo-datadir	completed	T6.2 — Durable Mongo datadir on persistent storage
tasks/yzx-iso/t6-3-supervise	completed	T6.3 — Supervise Omada via nix (unit or bwrap service)
tasks/yzx-iso/t6-4-data-migration	completed	T6.4 — Migrate Omada data from docker mongo to nix mongo
tasks/yzx-iso/t6-5-cutover-validate	completed	T6.5 — Cut over and validate network mgmt continuity
tasks/yzx-iso/t6-6-remove-container	completed	T6.6 — Remove docker Omada container + image
tasks/yzx-iso/t6-7-disable-kvm	completed	T6.7 — Disable unused libvirtd/qemu-kvm boot units
tasks/yzx-iso/t6-8-meta-var-guard	completed	T6.8 — Guard: meta/var never bind-mounted into a container
tasks/yzx-iso/t6-9-omada-acceptance	completed	T6.9 — Acceptance: Omada on nix, docker/kvm off, host normal
tasks/yzx-iso/t7-0-lane-index	completed	T7.0 — Boot re-attach mechanism (lane index)
tasks/yzx-iso/t7-1-design-unit	completed	T7.1 — Design the re-attach unit
tasks/yzx-iso/t7-2-rematerialize	completed	T7.2 — Re-materialize the envelope on boot
tasks/yzx-iso/t7-3-reattach-mounts	completed	T7.3 — Re-attach durable mounts (postgres/redb/runtime)
tasks/yzx-iso/t7-4-service-restart	completed	T7.4 — Orchestrate service restart order
tasks/yzx-iso/t7-5-session-restore	completed	T7.5 — Restore resumable session context
tasks/yzx-iso/t7-6-manual-recovery	completed	T7.6 — Single-command manual recovery path
tasks/yzx-iso/t7-9-reattach-acceptance	completed	T7.9 — Acceptance: reboot auto re-attach restores everything
tasks/yzx-iso/t8-0-lane-index	completed	T8.0 — Host-control plane / big brother (lane index)
tasks/yzx-iso/t8-1-interface-design	completed	T8.1 — Design the acquire/release control interface
tasks/yzx-iso/t8-2-resource-registry	completed	T8.2 — Build the controllable resource registry
tasks/yzx-iso/t8-3-acquire-semantics	completed	T8.3 — Implement acquisition semantics
tasks/yzx-iso/t8-4-release-semantics	completed	T8.4 — Implement clean-release semantics
tasks/yzx-iso/t8-5-audit-trail	completed	T8.5 — Audit trail for all acquire/release
tasks/yzx-iso/t8-6-frontdoor-wiring	completed	T8.6 — Wire Glass/Engine Room front door to control plane
tasks/yzx-iso/t8-7-safety-guards	completed	T8.7 — Safety guards: no permanent takeover
tasks/yzx-iso/t8-8-control-tests	completed	T8.8 — Control-plane acquire/release tests
tasks/yzx-iso/t8-9-control-acceptance	completed	T8.9 — Acceptance: commandeer + release, OS normal throughout
tasks/yzx-iso/t9-0-lane-index	completed	T9.0 — Govern the OS-update lifecycle (lane index)
tasks/yzx-iso/t9-1-characterize	completed	T9.1 — Characterize host update mechanisms
tasks/yzx-iso/t9-3-hold-packages	completed	T9.3 — Hold desktop-breaking packages during active work
tasks/yzx-iso/t9-4-deliberate-reboot	completed	T9.4 — Make reboots deliberate
tasks/yzx-iso/t9-5-insulation-validate	completed	T9.5 — Validate insulation (host upgrade does not touch LifeOS)
tasks/yzx-iso/t9-6-host-normalcy	completed	T9.6 — Validate host still updates/reboots normally
tasks/yzx-iso/t9-7-kernel-swap	completed	T9.7 — Handle kernel swap via persistence + re-attach
tasks/yzx-iso/t9-8-policy-as-code	completed	T9.8 — Update policy as code + guard
tasks/yzx-iso/t9-9-update-acceptance	completed	T9.9 — Acceptance: host full-upgrade+reboot, LifeOS unaffected
tasks/smoke-assignment-field	completed	Smoke: assign/unassign field mismatch
tasks/meta-unified-agent-plugin-control-plane	completed	Design unified meta-owned agent plugin control plane
make-ruvector-extension-schema-relocatable	completed	Make RuVector extension schema-relocatable
tasks/yzx-iso/reconciliation-index	completed	yzx-iso reconciliation index (verdicts + deltas, 2026-07-22)
